ID,Scale,High.Level.Cat,Specific.Skill,Rank.Now,Rank.Future,TeamFolder,Team,Group.Class,Rank.Now.Num,Rank.Future.Num,Gap,Gap2,CreditSkill,DebitSkill,Year
1,Scale F,Analytical tools,"Visualisation tools (Excel, tableau, power BI, SSRS)",Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Analytical tools,"Programming tools for product development (R, Python, Matlab, Shiny)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,"Database query tools (SQL type tools , NoSQL, MDx, SSAS)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,"Econometric tools (Eviews, Stata, X13, etc)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,"Bank collaboration tools: Sharepoint, Collaborate, My Service",Good (2),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,1,1,1,TRUE,FALSE,2018
1,Scale F,Analytical tools,VBA,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,STAR tools,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,Programming tools for big data (e.g. Spark),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,Version control (git),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,"Programming notebooks (Jupyter notebooks, R markdown)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,"Workflow-based tools ( KNIME, Alteryx)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,Web development,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Analytical tools,"Office tools: 
Powerpoint
Access
Word",Expert (4),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,4,3,1,1,TRUE,FALSE,2018
1,Scale F,Analytical tools,Team workflow management tools,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Soft,Presentations/public  speaking,High (3),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,3,0,0,FALSE,FALSE,2018
1,Scale F,Soft,Customer service,High (3),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,3,0,0,FALSE,FALSE,2018
1,Scale F,Soft,"Communication (written, reviewing and editing)",High (3),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,3,0,0,FALSE,FALSE,2018
1,Scale F,Soft,Stakeholder management/negotiation,Expert (4),Expert (4),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,4,4,0,0,FALSE,FALSE,2018
1,Scale F,Soft,Planning & Organisation,Expert (4),Expert (4),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,4,4,0,0,FALSE,FALSE,2018
1,Scale F,Soft,Training,High (3),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,2,1,1,TRUE,FALSE,2018
1,Scale F,Soft,Event management,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Management,Coaching and Mentoring,High (3),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,2,1,1,TRUE,FALSE,2018
1,Scale F,Management,Leadership,High (3),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,2,1,1,TRUE,FALSE,2018
1,Scale F,Management,Line/people management,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Management,Performance Evaluation,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Management,Self-management,Expert (4),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,4,3,1,1,TRUE,FALSE,2018
1,Scale F,Management,"Project Management (scoping, task setting, development follow-up, budget)",High (3),Expert (4),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,4,-1,1,FALSE,TRUE,2018
1,Scale F,Management,Business planning,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Management,Strategy,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Management,"Structured thinking (e.g. business process opt, taxonomy)",High (3),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,3,2,1,1,TRUE,FALSE,2018
1,Scale F,Management,Conflict resolution,Good (2),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,3,-1,1,FALSE,TRUE,2018
1,Scale F,Data management,Data Collection,Good (2),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,3,-1,1,FALSE,TRUE,2018
1,Scale F,Data management,Data Ownership & Stewardship,Basic (1),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,3,-2,4,FALSE,TRUE,2018
1,Scale F,Data management,"Data Preparation (e.g. Virtual, Imputation, Anonimization)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,"Data Preparation (e.g. Manipulation, Aggregation)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Data Quality (Plausie),Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Data management,Data Analysis: Exploration,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Data Analysis: Modelling,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Data Publishing/Sharing,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Data Ownership & Stewardship (advisory),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Metadata Management (advisory/operational),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Master Data Management,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Data management,Data Quality Management (advisory),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Data Governance (advisory),Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Data management,Data risk (reviewing and acessing data risks),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,Prudential regulation: Banking,Good (2),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,2,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,Prudential regulation: Insurance,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,National accounts,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,"Banking - stats (e.g. money and credit, rates)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,PRA supervisory process: banking,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Subject matter experts,PRA supervisory process: insurance,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,Monetary policy,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,Financial Stability,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Subject matter experts,Insurance,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Subject matter experts,Financial Risk Management,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Technical specialists,Statistical methods,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Technical specialists,Data science,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Technical specialists,Economics,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Technical specialists,Mathematics,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
1,Scale F,Technical specialists,Accountancy,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
1,Scale F,Technical specialists,"Bank policy  (e.g. data policies, disclosures)",Good (2),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,2,3,-1,1,FALSE,TRUE,2018
1,Scale F,Technical specialists,"Data Management (DCAM,DAMA)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
1,Scale F,Technical specialists,Data Engineering,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/(Analytical)_(BCV)_7779294_v_1_Skills matrix and skills list.xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
2,Scale G,Systems,BEEDS,Good (2),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,2,2,0,0,FALSE,FALSE,2018
2,Scale G,Systems,BSM,Basic (1),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,3,-2,4,FALSE,TRUE,2018
2,Scale G,Systems,MIDAS,Good (2),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,2,1,1,1,TRUE,FALSE,2018
2,Scale G,Systems,TARSAMM,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
2,Scale G,Systems,Aperture,Basic (1),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,3,-2,4,FALSE,TRUE,2018
2,Scale G,Systems,TRAFFIC,Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
2,Scale G,Systems,Hub,Basic (1),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,3,-2,4,FALSE,TRUE,2018
2,Scale G,Systems,MarkitEDM,Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
2,Scale G,Systems,DKAN (data inventory system),Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
2,Scale G,Systems,TARDIS / INTACT,Basic (1),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,3,-2,4,FALSE,TRUE,2018
2,Scale G,Systems,MOSR / EDM,Basic (1),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,3,-2,4,FALSE,TRUE,2018
2,Scale G,Systems,GABRIEL,Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
2,Scale G,Systems,RWM,Basic (1),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,3,-2,4,FALSE,TRUE,2018
2,Scale G,Systems,OSCA,Good (2),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,2,1,1,1,TRUE,FALSE,2018
2,Scale G,Analytical tools,Excel,Good (2),High (3),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,2,3,-1,1,FALSE,TRUE,2018
2,Scale G,Analytical tools,"Programming tools for analysis (R, Python, Matlab)",Basic (1),Basic (1),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,1,0,0,FALSE,FALSE,2018
2,Scale G,Analytical tools,"Visualisation tools (Excel, tableau, power BI, SSRS)",Basic (1),Good (2),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,1,2,-1,1,FALSE,TRUE,2018
2,Scale G,Analytical tools,"Programming tools for product development (R, Python, Matlab, Shiny)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
2,Scale G,Analytical tools,"Database query tools (SQL type tools , NoSQL, MDx, SSAS)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
2,Scale G,Analytical tools,"Econometric tools (Eviews, Stata, X13, etc)",Not applicable (0),Not applicable (0),N:/DATA/Cross Divisional Work/SkillsMatrix//BDCG/7779294_1 (1).xlsx,BDCG,Data & Tech Expertise,0,0,0,0,FALSE,FALSE,2018
